,Street Name,count
591,FORT HAMILTON PARKWAY,63
592,FREDERICK DOUGLASS BOULEVARD,62
593,102 STREET,62
594,90 STREET,62
595,CHARLES STREET,62
596,51 AVENUE,62
597,EAST 83 STREET,62
598,35 AVENUE,62
599,WEST   91 STREET,62
600,MCDONALD AVENUE,62
601,43 AVENUE,62
602,EAST   28 STREET,62
603,MAPLE STREET,62
604,DRIGGS AVENUE,62
605,MORNINGSIDE AVENUE,62
606,WEST 147 STREET,62
607,EAST  100 STREET,61
608,WESTERVELT AVENUE,61
609,47 STREET,61
610,FREEMAN STREET,61
611,111 AVENUE,61
612,LEFFERTS BOULEVARD,61
613,EAST  151 STREET,61
614,EAST  103 STREET,61
615,WEST   15 STREET,61
616,EAST  102 STREET,61
617,108 STREET,61
618,SHEFFIELD AVENUE,61
619,SELWYN AVENUE,61
620,SHORE PARKWAY,61
621,EAST  119 STREET,60
622,WEST   92 STREET,60
623,WEST 108 STREET,60
624,WEST 109 STREET,60
625,CLERMONT AVENUE,60
626,89 STREET,60
627,BEVERLEY ROAD,60
628,CUMBERLAND STREET,60
629,FORT GREENE PLACE,60
630,ST LAWRENCE AVENUE,60
631,96 STREET,60
632,WEST 139 STREET,60
633,HONEYWELL AVENUE,60
634,WEST  128 STREET,60
635,CROSS BRONX EXPRESSWAY,60
636,RADCLIFF AVENUE,59
637,WATSON AVENUE,59
638,IRVING PLACE,59
639,EAST  140 STREET,59
640,WEST  101 STREET,59
641,MERRIAM AVENUE,59
642,MAPES AVENUE,59
643,66 STREET,59
644,MIDWOOD STREET,59
645,103 STREET,59
646,3 STREET,58
647,SUMMERFIELD STREET,58
648,21 AVENUE,58
649,EAST  176 STREET,58
650,FULTON AVENUE,58
651,HUNTS POINT AVENUE,58
652,92 STREET,58
653,VICTORY BOULEVARD,58
654,BEACH AVENUE,58
655,JEROME STREET,58
656,EAST  182 STREET,58
657,EASTBURN AVENUE,58
658,PROSPECT PARK WEST,57
659,THOMAS S BOYLAND STREET,57
660,WEST   69 STREET,57
661,CONSELYEA STREET,57
662,84 DRIVE,57
663,MONROE AVENUE,57
664,27 STREET,57
665,SOUTH    4 STREET,57
666,EAST    4 STREET,57
667,62 AVENUE,57
668,EAST  181 STREET,56
669,SNEDIKER AVENUE,56
670,WEST  114 STREET,56
671,WEST  170 STREET,56
672,EAST  166 STREET,56
673,BRADFORD STREET,56
674,165 STREET,56
675,WEST   73 STREET,56
676,CLAREMONT AVENUE,56
677,POWELL AVENUE,56
678,7 STREET,56
679,147 STREET,56
680,HARRISON AVENUE,56
681,150 STREET,56
682,SULLIVAN PLACE,55
683,JANE STREET,55
684,WEST 94TH STREET,55
685,88 AVENUE,55
686,18 STREET,55
687,HULL STREET,55
688,WEST  175 STREET,55
689,WEST  132 STREET,55
690,14 AVENUE,55
691,WEST 47 STREET,55
692,JEWETT AVENUE,55
693,EAST  173 STREET,55
694,20 AVENUE,55
695,WEST   25 STREET,55
696,BECK STREET,54
697,FENIMORE STREET,54
698,87 STREET,54
699,EAST   51 STREET,54
700,57 AVENUE,54
701,58 AVENUE,54
702,WEST 106 STREET,54
703,NEW LOTS AVENUE,54
704,OLMSTEAD AVENUE,54
705,BAY PARKWAY,54
706,WEST  181 STREET,54
707,HOOPER STREET,54
708,NEW JERSEY AVENUE,54
709,SPENCER PLACE,54
710,PELHAM PARKWAY NORTH,54
711,WHITEPLAINS ROAD,54
712,EAST   52 STREET,54
713,ADAM CLAYTON POWELL JR BOULEVARD,53
714,GEORGIA AVENUE,53
715,WEST 141 STREET,53
716,WEST 71 STREET,53
717,JEFFERSON PLACE,53
718,EAST   22 STREET,53
719,MEEKER AVENUE,53
720,101 STREET,53
721,WEST 151 STREET,53
722,CYPRESS AVENUE,53
723,88 STREET,53
724,AUTUMN AVENUE,53
725,WEST  134 STREET,53
726,ORLOFF AVENUE,53
727,EAST  108 STREET,53
728,MANOR AVENUE,53
729,118 STREET,53
730,CHATTERTON AVENUE,52
731,WEST 123 STREET,52
732,EAST   80 STREET,52
733,MARCUS GARVEY BOULEVARD,52
734,WEST   76 STREET,52
735,WEST 152 STREET,52
736,THIRD AVENUE,52
737,WEST  110 STREET,52
738,BUTLER STREET,52
739,EAST  106 STREET,52
740,24 STREET,52
741,WINTHROP STREET,52
742,EAST  199 STREET,52
743,DEVOE TERRACE,52
744,SANFORD AVENUE,52
745,WEST  182 STREET,52
746,CROTONA PARK EAST,52
747,COSTER STREET,51
748,18 AVENUE,51
749,WEST   99 STREET,51
750,ELIZABETH STREET,51
751,WEST   77 STREET,51
752,23 AVENUE,51
753,WEST   20 STREET,51
754,LOGAN STREET,51
755,WEST 94 STREET,51
756,GREENPOINT AVENUE,51
757,EAST  180 STREET,51
758,WEST 73 STREET,51
759,COURT STREET,51
760,GARFIELD PLACE,51
761,ALLEN STREET,51
762,QUEENS BOULEVARD,51
763,RICHMOND TERRACE,51
764,SOUTH    1 STREET,51
765,EAST 94 STREET,51
766,70 AVENUE,50
767,WEST 116 STREET,50
768,LIVINGSTON STREET,50
769,KNOX PLACE,50
770,CONCORD AVENUE,50
771,168 STREET,50
772,WEST    7 STREET,50
773,CROPSEY AVENUE,50
774,EAST   31 STREET,50
775,EAST    1 STREET,50
776,HUDSON STREET,50
777,GLENMORE AVENUE,50
778,SNYDER AVENUE,49
779,BURKE AVENUE,49
780,SAINT JAMES PLACE,49
781,EAST 2 STREET,49
782,64 AVENUE,49
783,53 STREET,49
784,89 AVENUE,49
785,104 STREET,49
786,12 AVENUE,49
787,FDR DRIVE,49
788,WEST    4 STREET,49
789,EAST   98 STREET,48
790,153 STREET,48
791,ST JOHN PLACE,48
792,EAST  110 STREET,48
793,EAST   46 STREET,48
794,30 AVENUE,48
795,DANA COURT,48
796,ROOSEVELT AVENUE,48
797,SOUTH PORTLAND AVENUE,48
798,AUDOBON AVENUE,48
799,HARDING PARK,48
800,NORTHERN BOULEVARD,48
801,HAVEMEYER STREET,48
802,PINE STREET,48
803,36 STREET,48
804,EAST BROADWAY,48
805,34 STREET,48
806,HYLAN BOULEVARD,48
807,47 ROAD,48
808,EAST 87 STREET,48
809,NORTH HENRY STREET,48
810,110 STREET,48
811,COLDEN STREET,48
812,FRANKLIN STREET,48
813,EAST 21 STREET,48
814,67 AVENUE,47
815,WESTBURY COURT,47
816,EAST  160 STREET,47
817,WEST   70 STREET,47
818,WEST  184 STREET,47
819,30 STREET,47
820,MARMION AVENUE,47
821,48 AVENUE,47
822,WEST 119 STREET,47
823,EAST  215 STREET,47
824,EAST 96 STREET,47
825,POWERS STREET,47
826,EAST  183 STREET,47
827,204 STREET,47
828,WEST   30 STREET,47
829,BRONX RIVER AVENUE,47
830,BOERUM STREET,47
831,WEST 142 STREET,47
832,100 STREET,47
833,86 STREET,46
834,WEST 137 STREET,46
835,EAST   53 STREET,46
836,BEDFORD STREET,46
837,CLEVELAND STREET,46
838,LEONARD STREET,46
839,WEST 122 STREET,46
840,AVENUE N,46
841,EAST   33 STREET,46
842,VAN NEST AVENUE,46
843,EAST 91 STREET,46
844,WARING AVENUE,46
845,DOUGLASS STREET,46
846,MERMAID AVENUE,46
847,ONDERDONK AVENUE,46
848,TURNER PLACE,46
849,STRAUSS STREET,45
850,FENTON AVENUE,45
851,19 STREET,45
852,TRINITY AVENUE,45
853,EAST 82 STREET,45
854,ARLINGTON AVENUE,45
855,50 AVENUE,45
856,WEST   74 STREET,45
857,FATHER CAPODANNO BOULEVARD,45
858,SPRINGFIELD BOULEVARD,45
859,CARY AVENUE,45
860,JOHNSON AVENUE,45
861,EAST  137 STREET,44
862,MONTAUK AVENUE,44
863,PERRY STREET,44
864,ELMHURST AVENUE,44
865,BARBEY STREET,44
866,EAST   34 STREET,44
867,HEGEMAN AVENUE,44
868,INDIA STREET,44
869,NORTH    8 STREET,44
870,STAGG STREET,44
871,ELDERT STREET,44
872,23 STREET,44
873,WEST 159 STREET,44
874,CORONA AVENUE,44
875,WASHINGTON PARK,44
876,56 AVENUE,44
877,131 STREET,44
878,BERRY STREET,43
879,EAST 28 STREET,43
880,VAN DUZER STREET,43
881,EAST 169 STREET,43
882,JUNCTION BOULEVARD,43
883,STANTON STREET,43
884,160 STREET,43
885,ROCHESTER AVENUE,43
886,CHESTER STREET,43
887,WEST  125 STREET,43
888,SEWARD AVENUE,43
889,WEST 93 STREET,43
890,WEST  161 STREET,43
891,EAST  234 STREET,43
892,GLEASON AVENUE,43
893,MESEROLE STREET,43
894,EAST 187 STREET,43
895,145 STREET,43
896,WEST  204 STREET,43
897,ETNA STREET,42
898,BOOTH STREET,42
899,AVENUE O,42
900,PERSHING CRESCENT,42
901,GREENLEAF AVENUE,42
902,WEST  131 STREET,42
903,GRANDVIEW AVENUE,42
904,SUMMIT AVENUE,42
905,AVENUE A,42
906,MANIDA STREET,42
907,EAST GUN HILL ROAD,42
908,MAUJER STREET,42
909,WEST 80 STREET,42
910,39 PLACE,42
911,MAGENTA STREET,42
912,EAST 95 STREET,42
913,COLDEN AVENUE,42
914,SOMERS STREET,42
915,WEST 76 STREET,42
916,WILLIAMS AVENUE,42
917,CROTONA PARKWAY,42
918,32 AVENUE,41
919,EASTERN PKWY,41
920,ELDERT LANE,41
921,117 STREET,41
922,CLAFLIN AVENUE,41
923,EAST 138 STREET,41
924,GUNTHER AVENUE,41
925,WYONA STREET,41
926,EAST  174 STREET,41
927,24 AVENUE,41
928,WEST   55 STREET,41
929,HESTER STREET,41
930,HICKS STREET,41
931,THOMAS BOYLAND STREET,41
932,SUMPTER STREET,41
933,SIMPSON STREET,41
934,HORACE HARDING EXPRESSWAY,41
935,EAST   32 STREET,40
936,SCHERMERHORN STREET,40
937,ORCHARD STREET,40
938,EAST 88TH STREET,40
939,HILL STREET,40
940,53 AVENUE,40
941,NORMAN STREET,40
942,EAST   35 STREET,40
943,SCHOLES STREET,40
944,COLUMBIA STREET,40
945,WEST   81 STREET,40
946,WEST  153 STREET,40
947,MOHEGAN AVENUE,40
948,HOME STREET,40
949,ELLIOT PLACE,40
950,ATKINS AVENUE,40
951,BOWNE STREET,40
952,GUY R BREWER BOULEVARD,40
953,2 STREET,40
954,EASTCHESTER ROAD,40
955,BEDFORD PARK BOULEVARD,40
956,HINSDALE STREET,40
957,STERLING STREET,40
958,198 STREET,40
959,OVINGTON AVENUE,40
960,ROCKAWAY BOULEVARD,40
961,WEST  238 STREET,40
962,WEST 89 STREET,40
963,EAST GUNHILL ROAD,40
964,166 STREET,40
965,FREDRICK DOUGLAS BOULEVARD,40
966,144 STREET,39
967,WEST   97 STREET,39
968,46 AVENUE,39
969,WEST 132 STREET,39
970,PLEASANT AVENUE,39
971,EAST   23 STREET,39
972,LEROY STREET,39
973,52 AVENUE,39
974,PHELAN PLACE,39
975,BUFFALO AVENUE,39
976,WEST   23 STREET,39
977,CHESTNUT STREET,39
978,AVENUE L,39
979,WHEELER AVENUE,39
980,17 STREET,39
981,EAST  141 STREET,39
982,EAST  164 STREET,39
983,GREENWICH STREET,39
984,WEST   17 STREET,39
